Płeć;5 km Tempo;Czas [s]
M;2.9233333333333333;3899.0
M;2.96;3983.0
M;3.1533333333333333;4104.0
M;3.2366666666666664;4216.0
M;3.24;4227.0
M;3.23;4234.0
M;3.123333333333333;4278.0
M;3.3;4302.0
M;3.433333333333333;4456.0
M;3.3766666666666665;4462.0
M;3.43;4483.0
M;3.45;4490.0
M;3.45;4496.0
M;3.453333333333333;4505.0
K;3.46;4520.0
M;3.4566666666666666;4533.0
M;3.3766666666666665;4539.0
M;3.4566666666666666;4550.0
M;3.4633333333333334;4561.0
M;3.313333333333333;4574.0
M;3.4633333333333334;4575.0
M;3.54;4578.0
M;3.45;4580.0
M;3.313333333333333;4602.0
K;3.46;4614.0
M;3.46;4616.0
M;3.4566666666666666;4623.0
M;3.6666666666666665;4626.0
M;3.45;4643.0
M;3.646666666666667;4680.0
M;3.57;4698.0
M;3.643333333333333;4709.0
M;3.57;4725.0
M;3.65;4735.0
M;3.4633333333333334;4765.0
M;3.683333333333333;4786.0
M;3.67;4790.0
M;3.64;4794.0
M;3.826666666666666;4796.0
M;3.673333333333333;4799.0
M;3.756666666666667;4816.0
M;3.673333333333333;4817.0
M;3.823333333333333;4825.0
M;3.453333333333333;4834.0
M;3.67;4834.0
M;3.5733333333333333;4836.0
M;3.54;4836.0
K;3.5733333333333333;4840.0
M;3.746666666666667;4841.0
M;3.746666666666667;4844.0
M;3.76;4851.0
M;3.643333333333333;4852.0
M;3.69;4858.0
M;3.7633333333333336;4861.0
M;3.646666666666667;4865.0
M;3.78;4865.0
M;3.76;4869.0
M;3.783333333333333;4872.0
M;3.646666666666667;4877.0
M;3.6766666666666663;4878.0
M;3.8666666666666663;4878.0
M;3.683333333333333;4881.0
M;3.78;4883.0
M;3.73;4887.0
M;3.746666666666667;4889.0
M;3.756666666666667;4889.0
M;3.7666666666666666;4890.0
M;3.536666666666666;4891.0
M;3.6566666666666663;4895.0
M;3.773333333333333;4898.0
M;3.753333333333333;4904.0
M;3.86;4905.0
M;3.823333333333333;4912.0
M;3.7266666666666666;4912.0
M;3.5733333333333333;4914.0
M;3.773333333333333;4920.0
M;3.893333333333333;4921.0
M;3.853333333333333;4925.0
M;3.746666666666667;4926.0
M;3.716666666666667;4931.0
M;3.746666666666667;4938.0
M;3.77;4942.0
M;3.81;4946.0
M;3.823333333333333;4952.0
M;3.796666666666667;4959.0
M;3.78;4972.0
M;3.8;4973.0
M;3.8766666666666665;4974.0
M;3.7766666666666655;4974.0
K;3.796666666666667;4977.0
M;3.756666666666667;4983.0
M;3.943333333333333;4984.0
M;3.896666666666667;4986.0
M;3.9166666666666665;4995.0
M;3.8133333333333335;4996.0
M;3.86;4998.0
M;3.9766666666666666;5003.0
M;3.93;5020.0
M;3.6766666666666663;5022.0
M;3.85;5025.0
M;3.933333333333333;5025.0
M;3.7633333333333336;5028.0
M;3.786666666666666;5030.0
M;3.79;5031.0
M;3.803333333333333;5032.0
M;3.84;5035.0
M;3.76;5035.0
M;3.8866666666666654;5041.0
M;3.86;5043.0
M;3.903333333333333;5047.0
M;3.773333333333333;5051.0
M;4.003333333333333;5061.0
M;3.8733333333333335;5063.0
M;4.04;5069.0
M;3.773333333333333;5075.0
M;3.83;5080.0
M;3.81;5087.0
M;3.8133333333333335;5090.0
M;3.87;5091.0
M;4.006666666666667;5091.0
M;3.9133333333333336;5091.0
M;3.8866666666666654;5093.0
M;3.996666666666667;5093.0
M;3.97;5094.0
M;3.94;5094.0
M;3.93;5095.0
M;3.9766666666666666;5098.0
M;3.9266666666666663;5100.0
M;4.006666666666667;5102.0
M;3.823333333333333;5104.0
M;3.816666666666667;5106.0
K;3.96;5112.0
M;3.7666666666666666;5115.0
M;3.963333333333333;5118.0
M;4.006666666666667;5118.0
M;4.003333333333333;5119.0
M;3.8766666666666665;5119.0
M;3.8866666666666654;5123.0
M;3.8766666666666665;5124.0
M;4.08;5128.0
M;3.903333333333333;5130.0
M;3.9366666666666665;5131.0
M;3.903333333333333;5132.0
M;3.9;5133.0
M;4.046666666666667;5133.0
M;3.7666666666666666;5134.0
M;3.78;5134.0
K;3.903333333333333;5135.0
M;3.8133333333333335;5137.0
K;3.9366666666666665;5140.0
M;4.006666666666667;5142.0
M;3.7766666666666655;5142.0
M;3.9166666666666665;5145.0
M;3.75;5148.0
M;4.1066666666666665;5148.0
M;3.9166666666666665;5149.0
M;3.94;5153.0
M;4.016666666666667;5155.0
M;3.9733333333333336;5160.0
M;3.9066666666666663;5166.0
K;3.893333333333333;5169.0
M;3.993333333333333;5173.0
M;4.033333333333333;5178.0
K;3.81;5182.0
M;4.066666666666666;5187.0
M;3.77;5189.0
M;3.87;5190.0
M;4.086666666666667;5190.0
M;4.116666666666666;5192.0
M;3.85;5197.0
M;4.116666666666666;5204.0
M;4.043333333333333;5205.0
M;4.193333333333333;5205.0
M;3.9566666666666666;5212.0
M;3.983333333333333;5212.0
M;4.023333333333333;5220.0
M;3.91;5220.0
M;3.8766666666666665;5222.0
M;4.156666666666667;5226.0
M;3.8733333333333335;5230.0
M;3.83;5231.0
M;3.9366666666666665;5232.0
M;3.77;5232.0
M;4.156666666666667;5234.0
M;3.996666666666667;5235.0
M;3.94;5236.0
M;3.93;5237.0
M;4.1866666666666665;5237.0
M;3.74;5240.0
M;3.9266666666666663;5240.0
M;4.076666666666666;5244.0
M;4.06;5245.0
M;3.943333333333333;5246.0
M;4.163333333333333;5248.0
M;3.953333333333333;5250.0
M;3.983333333333333;5251.0
M;4.153333333333333;5251.0
M;4.156666666666667;5252.0
K;3.953333333333333;5252.0
M;3.983333333333333;5254.0
M;4.093333333333333;5258.0
M;3.966666666666667;5259.0
M;4.04;5259.0
K;4.08;5261.0
M;4.05;5263.0
M;4.066666666666666;5264.0
M;3.943333333333333;5266.0
M;3.9866666666666655;5266.0
M;3.756666666666667;5267.0
M;4.083333333333333;5268.0
M;3.85;5269.0
M;3.843333333333333;5270.0
M;4.04;5270.0
M;3.9066666666666663;5272.0
M;3.983333333333333;5273.0
M;4.13;5273.0
M;3.98;5274.0
M;4.1033333333333335;5279.0
M;3.883333333333333;5283.0
M;4.133333333333334;5285.0
M;4.13;5286.0
M;4.123333333333333;5288.0
M;4.12;5289.0
M;4.176666666666667;5290.0
M;4.04;5291.0
M;4.096666666666667;5292.0
M;4.203333333333333;5292.0
M;4.11;5294.0
M;4.1433333333333335;5295.0
M;4.046666666666667;5298.0
M;4.12;5298.0
M;4.1066666666666665;5299.0
M;4.11;5301.0
M;4.086666666666667;5301.0
M;4.183333333333334;5303.0
M;4.133333333333334;5305.0
M;4.056666666666667;5305.0
M;4.06;5306.0
M;4.153333333333333;5307.0
M;4.096666666666667;5308.0
M;4.2;5308.0
M;4.14;5310.0
M;4.093333333333333;5310.0
M;4.13;5313.0
M;3.75;5315.0
M;4.243333333333333;5318.0
M;4.016666666666667;5320.0
M;4.043333333333333;5320.0
M;4.12;5321.0
M;4.166666666666667;5322.0
M;4.15;5322.0
M;4.223333333333334;5326.0
M;4.13;5327.0
M;3.9566666666666666;5327.0
M;4.153333333333333;5328.0
M;4.026666666666666;5329.0
M;4.1866666666666665;5334.0
M;4.113333333333333;5336.0
M;4.1433333333333335;5336.0
M;3.97;5336.0
M;4.123333333333333;5341.0
M;4.1;5342.0
M;4.113333333333333;5343.0
M;4.1433333333333335;5345.0
M;4.08;5348.0
M;4.11;5349.0
M;4.076666666666666;5351.0
M;4.12;5351.0
M;4.14;5352.0
M;3.8;5352.0
M;4.126666666666667;5354.0
M;4.086666666666667;5357.0
M;4.323333333333333;5358.0
M;4.1866666666666665;5358.0
M;4.266666666666667;5359.0
M;4.093333333333333;5359.0
M;4.11;5360.0
M;4.296666666666667;5361.0
M;4.1866666666666665;5362.0
M;4.166666666666667;5362.0
M;4.069999999999999;5363.0
M;4.136666666666667;5364.0
M;4.066666666666666;5364.0
M;4.069999999999999;5365.0
M;4.1;5366.0
M;4.13;5366.0
M;4.16;5368.0
M;4.15;5368.0
M;4.233333333333333;5370.0
M;4.093333333333333;5375.0
M;4.1033333333333335;5375.0
M;4.17;5376.0
M;4.093333333333333;5376.0
M;4.076666666666666;5377.0
M;3.99;5377.0
M;4.113333333333333;5378.0
M;4.166666666666667;5379.0
M;4.2;5380.0
M;4.1;5380.0
K;4.176666666666667;5381.0
M;3.993333333333333;5381.0
M;4.1466666666666665;5382.0
M;4.236666666666666;5384.0
M;3.99;5384.0
K;4.053333333333333;5384.0
M;4.15;5384.0
M;4.113333333333333;5385.0
M;4.223333333333334;5388.0
M;4.1433333333333335;5390.0
M;3.94;5390.0
M;4.173333333333334;5390.0
M;4.283333333333333;5391.0
M;4.319999999999999;5392.0
M;4.12;5393.0
M;4.163333333333333;5399.0
M;4.193333333333333;5399.0
M;4.226666666666667;5399.0
M;4.233333333333333;5399.0
M;4.263333333333334;5402.0
K;3.9733333333333336;5402.0
M;4.06;5403.0
M;4.196666666666667;5404.0
M;4.223333333333334;5406.0
M;4.133333333333334;5406.0
M;4.166666666666667;5407.0
M;4.123333333333333;5409.0
M;4.243333333333333;5410.0
M;4.14;5412.0
M;4.04;5414.0
M;3.933333333333333;5417.0
M;4.3566666666666665;5418.0
M;4.02;5419.0
M;4.113333333333333;5420.0
M;4.383333333333334;5420.0
M;4.276666666666667;5420.0
M;4.173333333333334;5421.0
M;4.346666666666667;5423.0
M;4.326666666666667;5423.0
M;4.243333333333333;5423.0
M;4.069999999999999;5424.0
M;4.216666666666667;5427.0
M;4.16;5430.0
M;4.246666666666667;5432.0
M;4.24;5433.0
M;4.316666666666666;5437.0
M;4.17;5437.0
M;4.096666666666667;5438.0
M;4.213333333333334;5439.0
M;4.283333333333333;5439.0
M;4.136666666666667;5443.0
M;4.65;5445.0
K;4.133333333333334;5448.0
M;4.116666666666666;5448.0
M;4.03;5449.0
M;4.28;5449.0
M;4.01;5450.0
M;4.056666666666667;5453.0
M;4.276666666666667;5454.0
M;4.223333333333334;5456.0
M;4.226666666666667;5457.0
M;4.066666666666666;5459.0
M;4.223333333333334;5459.0
M;4.086666666666667;5461.0
M;3.92;5462.0
M;4.133333333333334;5463.0
M;4.123333333333333;5463.0
M;4.176666666666667;5467.0
M;3.9466666666666663;5469.0
M;4.196666666666667;5472.0
M;4.133333333333334;5472.0
M;4.26;5473.0
M;4.11;5473.0
M;4.22;5474.0
M;4.2;5476.0
M;4.22;5478.0
K;4.27;5478.0
M;3.8666666666666663;5479.0
M;4.27;5479.0
M;4.156666666666667;5480.0
M;4.193333333333333;5483.0
M;4.093333333333333;5487.0
K;4.27;5487.0
M;4.28;5488.0
M;4.226666666666667;5488.0
M;4.0633333333333335;5490.0
M;4.306666666666667;5495.0
M;4.19;5496.0
M;4.473333333333333;5502.0
M;4.25;5503.0
M;4.423333333333333;5504.0
K;4.243333333333333;5506.0
M;4.16;5506.0
M;4.3133333333333335;5507.0
M;4.263333333333334;5511.0
M;4.296666666666667;5511.0
M;4.153333333333333;5512.0
M;4.306666666666667;5516.0
K;4.2733333333333325;5518.0
K;4.093333333333333;5518.0
M;4.1033333333333335;5518.0
K;4.133333333333334;5520.0
M;4.346666666666667;5523.0
K;4.3100000000000005;5524.0
M;4.203333333333333;5530.0
M;4.266666666666667;5532.0
M;4.15;5532.0
M;4.453333333333333;5533.0
M;4.286666666666666;5534.0
M;4.366666666666666;5534.0
M;4.15;5535.0
M;4.256666666666667;5535.0
M;4.173333333333334;5535.0
M;4.156666666666667;5536.0
M;4.213333333333334;5541.0
M;4.163333333333333;5541.0
M;4.510000000000001;5541.0
M;4.366666666666666;5542.0
M;3.88;5543.0
M;4.516666666666667;5544.0
M;4.29;5547.0
M;4.376666666666667;5548.0
M;4.193333333333333;5548.0
M;4.286666666666666;5549.0
M;4.263333333333334;5552.0
M;4.456666666666666;5554.0
M;4.1866666666666665;5559.0
M;4.136666666666667;5561.0
M;4.28;5565.0
K;4.28;5566.0
K;4.136666666666667;5566.0
M;4.1433333333333335;5566.0
M;4.1866666666666665;5567.0
M;4.21;5568.0
K;4.296666666666667;5569.0
K;4.17;5569.0
M;4.623333333333333;5572.0
M;4.21;5572.0
M;4.430000000000001;5572.0
M;4.14;5573.0
M;4.403333333333333;5574.0
M;4.286666666666666;5577.0
M;4.513333333333334;5577.0
M;4.33;5578.0
M;4.326666666666667;5578.0
M;4.293333333333334;5578.0
M;4.266666666666667;5580.0
M;4.27;5585.0
M;4.2733333333333325;5585.0
K;4.26;5587.0
M;4.303333333333333;5589.0
M;4.376666666666667;5589.0
M;4.233333333333333;5590.0
M;4.3966666666666665;5591.0
M;4.4;5595.0
M;4.376666666666667;5596.0
M;4.39;5597.0
M;4.243333333333333;5597.0
K;4.183333333333334;5597.0
M;4.3566666666666665;5599.0
M;4.296666666666667;5602.0
M;4.44;5603.0
K;4.44;5605.0
M;4.346666666666667;5611.0
M;4.546666666666667;5611.0
M;4.336666666666667;5611.0
M;4.069999999999999;5613.0
M;4.113333333333333;5613.0
M;4.3933333333333335;5614.0
M;4.303333333333333;5614.0
M;4.576666666666667;5616.0
M;4.13;5616.0
M;4.403333333333333;5617.0
M;4.14;5617.0
M;4.253333333333333;5619.0
